text,replace
aalamiin,amin
aamiin,amin
aayas,saya
abis,habis
abisss,habis
abizz,habis
adek,adik
adekku,adik
adekny,adik
adeknya,adik
adike,adik
adikny,adik
adiknyaa,adik
adlh,adalah
admiiin,admin
administratlsi,administrasi
adminnya,admin
adminsitrasi,administrasi
admnstrasi,administrasi
adoh,jauh
aduduuu,aduh
aduin,adu
akdemiknya,akademik
aktip,aktif
alkhamdulillah,alhamdulillah
amaaaan,aman
amiiin,amin
amiin,amin
aminn,amin
ampuuunnn,ampun
antem,hantam
anyar,baru
asik,asyik
banggaaanya,bangga
bantuin,bantu
blajar,belajar
capek,lelah
cepet,cepat
cheating,curang
clear,bersih
colong,curi
completing,menyelesaikan
concern,perhatian
confuse,menolak
congrats,selamat
congratulation,selamat
coretin,coret
cpet,cepat
dendo,denda
dibantuin,dibantu
didoain,doa
diem,diam
diguyu,ditertawakan
dikeluarin,keluar
dilaporin,lapor
dimarahin,marah
dipalsuin,palsu
disalahin,salah
dmudhkan,mudah
doain,doa
dpermudah,mudah
education,edukasi
effort,usaha
energy,energi
entek,habis
error,kesalahan
errornya,kesalahan
fair,adil
fake,palsu
famous,terkenal
focus,fokus
freedom,kebebasan
full,penuh
gaada,tidak ada
gabakalan,tidak akan
gabayar,tidak bayar
gabisa,tidak bisa
gaboleh,tidak boleh
gada,tidak ada
gadikerjain,tidak dikerjakan
gajelas,tidak jelas
gakan,tidak akan
gakbisa,tidak bisa
gamau,tidak mau
gampang,mudah
gamungkin,tidak mudah
gapaham,tidak paham
gasopan,tidak sopan
gasuka,tidak suka
gatau,tidak tahu
gaterima,tidak terima
gede,besar
gelut,berkelahi
gnjil,ganjil
graduate,lulus
great,bagus
happy,bahagia
hapusen,hapus
healty,kesehatan
help,bantu
heppy,bahagia
hilaang,hilang
hoaks,hoax
ilang,hilang
ilmunnya,ilmu
ilmunyaa,ilmu
injury,cedera
intergritas,integritas
isin,malu
isinan,malu
jago,ahli
jijiq,jijik
kagetz,kaget
kecerobahan,kecerobohan
kereeeeen,keren
kereeen,keren
kereen,keren
keribetan,ribet
kerrreeen,keren
ketidaknyamannya,ketidaknyamanan
kreatip,kreatif
lancaaarrr,lancar
lgkap,lengkap
loveee,love
lovelly,love
maap,maaf
majuuu,maju
makacih,terima kasih
makasih,terima kasih
males,malas
mampooosss,mampus
mantapp,mantap
marahin,marah
mebantu,membantu
memeprsulit,mempersulit
mendoaakaaannnnnnn,doa
mengingatka,mengingatkan
mengispirasi,menginspirasi
menyenangati,menyemangati
menyeraaaahhhh,menyerah
moga,semoga
mslah,masalah
mslh,masalah
nyalahin,menyalahkan
nyalahno,menyalahkan
nyindir,menyindir
nyumbang,menyumbang
nyusahin,menyusahkan
peace,damai
pedulia,peduli
penak,mudah
penakno,mudah
permsalahan,permasalahan
permslahan,permasalahan
pinter,pintar
popular,populer
prmsalahan,permasalahan
problem,masalah
problems,masalah
proud,bangga
putusin,putus
quality,kualitas
rapih,rapi
reward,penghargaan
sebel,sebal
seger,segar
semangaat,semangat
semangatt,semangat
semangattt,semangat
semrawud,semrawut
seriously,serius
seriusss,serius
shalat,sholat
siaaaaap,siap
siapppp,siap
srakah,serakah
stress,stres
supportnya,support
trpaksa,terpaksa
wisudaa,wisuda
